DEPTH_LSF,UCAV,RHON,GR_RAB,GRMA,BPHI,TNPH,A40B,RES_BD,P16B,VCO,VSH
133.0276,8.932364,1.660159,78.70565,57.93647,57.199,54.09,1.758732,1.522625,1.699809,,
133.18,8.958744,1.658501,80.42921,57.17211,54.4527,49.7499,1.800777,1.744625,1.789676,,
133.3324,8.889588,1.692143,83.37184,57.66272,55.3178,52.4126,1.783164,1.724516,1.870722,,
133.4848,8.979375,1.723645,86.38681,58.07518,53.3384,50.5578,1.781551,2.478184,1.777599,,
133.6372,8.952084,1.739111,85.34467,58.82738,61.1196,64.9754,1.734067,1.817916,1.687013,,
133.7896,8.97475,1.756578,80.63995,60.06873,52.6775,50.8073,1.708006,4.243345,1.661741,,
133.942,9.007497,1.770556,76.27814,61.09356,54.7757,54.8286,1.683631,2.547587,1.579695,,
134.0944,8.99932,1.782705,75.2254,60.88094,52.1501,50.9934,1.668196,2.072796,1.54365,,
134.2468,9.002778,1.791971,76.5305,59.75117,54.233,54.8325,1.667382,1.984881,1.559497,,
134.3992,9.073748,1.797936,79.1109,58.09956,52.5899,52.319,1.664721,2.056865,1.569897,,
134.5516,9.064365,1.807775,80.83015,57.12092,52.0926,51.9001,1.66962,1.699281,1.532373,,
134.704,9.014884,1.822601,80.39471,55.08429,50.8348,50.4406,1.652537,2.142992,1.532995,,
134.8564,9.069107,1.843001,78.33203,55.79873,49.0151,48.3196,1.639648,1.656992,1.50318,,
135.0088,9.066529,1.854622,76.63558,58.8123,52.8469,55.1557,1.641437,1.832603,1.497669,,
135.1612,9.084433,1.871007,76.90079,61.45013,47.2363,46.5662,1.607583,1.784997,1.520548,,
135.3136,9.082503,1.858429,76.51448,61.18214,50.1418,50.7086,1.611715,1.790431,1.521842,,
135.466,9.163998,1.841671,77.30616,57.70453,50.619,50.8325,1.620482,1.94567,1.538162,,
135.6184,8.918006,1.812376,78.47224,56.89905,54.7866,56.7108,1.666565,1.768412,1.599474,,
135.7708,9.120615,1.798809,77.68211,56.21056,52.4583,52.1381,1.709942,1.556897,1.686633,,
135.9232,9.546328,1.774922,75.52364,56.58438,54.2482,54.1236,1.759139,1.947606,1.68633,,
136.0756,9.448939,1.757516,74.08806,56.5428,53.2188,51.7076,1.784798,2.024158,1.670819,,
136.228,9.528224,1.728164,76.68735,57.51576,55.1514,53.6402,1.772271,1.973343,1.65354,,
136.3804,9.56501,1.71732,79.3393,58.32977,60.6113,62.8017,1.780641,1.825368,1.646753,,
136.5328,9.611871,1.710319,80.28084,56.17612,57.2238,56.3352,1.808641,2.12186,1.705015,,
136.6852,9.584999,1.704007,80.14416,54.74611,55.6614,53.456,1.876799,1.900914,1.756665,,
136.8376,9.5704,1.703064,79.21959,52.9171,55.3399,52.8973,1.849379,1.503822,1.869092,,
136.99,9.688243,1.709943,79.21088,53.96017,55.2445,53.0287,1.902388,2.390429,2.068212,,
137.1424,9.839574,1.721209,77.9826,55.31282,56.4815,55.5594,1.916588,2.636883,1.853295,,
137.2948,9.689281,1.755094,78.10912,55.72104,51.6522,49.1526,1.867463,2.336315,1.724762,,
137.4472,9.568393,1.765928,80.99589,57.70493,51.1709,48.8175,1.84851,2.055721,1.708851,,
137.5996,9.469253,1.776246,82.97324,57.57758,53.8867,53.5721,1.720847,1.760263,1.713844,,
137.752,9.489062,1.785533,82.29079,59.95855,53.9671,54.1013,1.713259,2.049225,1.601197,,
137.9044,9.482918,1.795497,79.78273,61.06501,57.4054,60.7233,1.679744,1.745271,1.627676,,
138.0568,9.384179,1.805085,79.14455,61.72655,51.1838,50.3217,1.673884,1.781647,1.550778,,
138.2092,9.338757,1.817622,82.39967,59.24591,47.7048,45.4406,1.646352,1.623529,1.552557,,
138.3616,9.295631,1.809977,84.51821,57.66402,52.5147,52.6882,1.643368,1.785649,1.526491,,
138.514,9.329163,1.807099,81.23926,57.40597,50.9993,50.1042,1.635503,2.3,1.503776,,
138.6664,9.31,1.802548,79.18237,57.73492,55.2283,57.0506,1.640692,1.613572,1.529763,,
138.8188,9.313811,1.821023,80.66302,56.6018,53.2608,54.4177,1.651197,1.865135,1.538903,,
138.9712,9.836662,1.829981,80.45284,56.80796,50.3054,49.8754,1.657123,1.86706,1.503806,,
139.1236,9.782063,1.823732,78.02176,57.45442,48.872,47.4034,1.658906,1.740919,1.524974,,
